"Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total,MP Office"
2023/05/30,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0343807,House of Commons Food Services — Services de restauration de la Chambre des communes,88.85,"Miller, Marc"
2023/05/02,Ottawa,0,To exchange with dignitaries,Community activity or event,M0342352,Eventbrite,107.83,"Moore, Rob"
2023/05/24,Hampton,3,To meet constituents,Hosting a meeting,M0343613,Tim Hortons,5.40,"Moore, Rob"
2023/05/30,Ottawa,1,To exchange with dignitaries,Community activity or event,M0342202,Eventbrite,242.29,"Moore, Rob"
2023/06/05,Ottawa,300,To discuss constituency issues with stakeholders,Hosting a reception or open house,M0343613,Andrew Rochon,176.47,"Moore, Rob"
2023/05/06,Winnipeg,16,To discuss constituency issues with stakeholders,Hosting a meeting,M0342383,Park Cafe,314.08,"Morantz, Marty"
2023/05/09,Ottawa,100,To exchange with dignitaries,Hosting a reception or open house,M0339694,CREATIVE KOSHER CATERING,550.00,"Morantz, Marty"
2023/06/05,Ottawa,0,To celebrate a significant event,"Gala, reception or ceremony",M0343121,Canadian Association of Former Parliamentarians (CAFP),75.00,"Morantz, Marty"
2022/04/22,Waterloo,1,To discuss constituency issues with stakeholders,Community activity or event,M0336473,eventbrite,23.24,"Morrice, Mike"
2022/05/17,Cambridge,1,To meet constituents,"Gala, reception or ceremony",M0336473,Kitchener-Waterloo Oktoberfest,100.00,"Morrice, Mike"
2023/04/01,Kitchener,0,To meet visitors of Member’s office,Hosting a meeting,M0339007,Cafe Pyrus,20.00,"Morrice, Mike"
2023/04/01,Kitchener,0,To meet visitors of Member’s office,Hosting a meeting,M0339007,Marche Leo's,4.49,"Morrice, Mike"
2023/04/01,Kitchener,0,To meet visitors of Member’s office,Hosting a meeting,M0340623,Marche Leo's,4.99,"Morrice, Mike"
2023/04/04,Kitchener,0,To meet constituents,Community activity or event,M0340623,Eventbrite Inc.,75.00,"Morrice, Mike"
2023/04/06,Kitchener,0,To meet constituents,Community activity or event,M0339002,YMCA Kitchener-Waterlo,75.00,"Morrice, Mike"
2023/04/15,Kitchener,0,To discuss constituency issues with stakeholders,"Gala, reception or ceremony",M0339002,The Working Centre,95.00,"Morrice, Mike"
2023/04/22,Waterloo,0,To meet constituents,"Gala, reception or ceremony",M0339007,Kitchener Waterloo Legacy Foundation,148.00,"Morrice, Mike"
2023/04/26,Kitchener,1,To discuss constituency issues with stakeholders,Community activity or event,M0340631,The Princess Cinema Inc.,14.00,"Morrice, Mike"
2023/05/05,Kitchener,1,To meet constituents,"Gala, reception or ceremony",M0340631,The Humane Society of Kitchener Waterloo & Stratford Perth,100.00,"Morrice, Mike"
2023/05/11,Kitchener,1,To meet constituents,Community activity or event,M0340631,GREATER KITCHENER WATERLOO CHAMBER OF COMMERCE,10.00,"Morrice, Mike"
2023/05/14,Kitchener,1,To meet constituents,Community activity or event,M0340631,Women's Crisis Services of Waterloo Region,60.00,"Morrice, Mike"
2023/05/25,Kitchener,0,To meet constituents,"Gala, reception or ceremony",M0339002,Kitchener-Waterloo Oktoberfest,60.00,"Morrice, Mike"
2023/05/31,Waterloo,1,To meet constituents,"Gala, reception or ceremony",M0340631,The Food Bank of Waterloo Region,53.48,"Morrice, Mike"
2023/06/29,Kitchener,1,To meet constituents,"Gala, reception or ceremony",M0340631,Spectrum Waterloo Region's Rainbow Community Space,90.70,"Morrice, Mike"
2023/05/23,Cranbrook,12,To meet constituents,Hosting a reception or open house,M0344135,Tim Horton's,27.98,"Morrison, Rob"
2023/05/23,Cranbrook,12,To meet constituents,Hosting a reception or open house,M0344135,Starbucks,19.95,"Morrison, Rob"
2023/06/05,Ottawa,300,To discuss constituency issues with stakeholders,Hosting a reception or open house,M0343398,Andrew Rochon - Wilderness Chef Outdoors,176.47,"Morrison, Rob"
2023/05/24,Medicine Hat,5,To attend staff events including training,Hosting a staff event,M0342797,The Beefeater Steak House,123.60,"Motz, Glen"
2023/05/24,Medicine Hat,20,To discuss constituency issues with stakeholders,Hosting a meeting,M0342797,Hillcrest Church,100.00,"Motz, Glen"
2023/05/29,Ottawa,1,To celebrate a significant event,"Gala, reception or ceremony",M0336902,EventBrite,107.83,"Motz, Glen"
2023/05/30,Ottawa,1,To celebrate a significant event,"Gala, reception or ceremony",M0336902,EventBrite,107.83,"Motz, Glen"
2023/06/05,Ottawa,300,To discuss constituency issues with stakeholders,Hosting a reception or open house,M0342797,Andrew Rochon - Wilderness Chef Outdoors,176.47,"Motz, Glen"
2023/05/02,Ottawa,30,"To discuss business of the House, caucus and committees",Hosting a reception or open house,M0339725,Independent,84.10,"Murray, Joyce"
2023/05/02,Ottawa,30,"To discuss business of the House, caucus and committees",Hosting a reception or open house,M0339725,Thimble Cakes,36.00,"Murray, Joyce"
2023/05/02,Ottawa,30,"To discuss business of the House, caucus and committees",Hosting a reception or open house,M0339725,Wine Rack,45.85,"Murray, Joyce"
2023/05/02,Ottawa,30,"To discuss business of the House, caucus and committees",Hosting a reception or open house,M0339725,Jacobsons Fien Food,140.00,"Murray, Joyce"
2023/05/23,Vancouver,8,To discuss constituency issues with stakeholders,Hosting a meeting,M0341707,IGA Grocery,8.56,"Murray, Joyce"
2023/04/15,Waterdown,50,To meet constituents,Hosting a reception or open house,M0340468,Costco,67.95,"Muys, Dan"
2023/04/15,Waterdown,50,To meet constituents,Hosting a reception or open house,M0340453,Walmart,19.97,"Muys, Dan"
2023/04/15,Waterdown,50,To meet constituents,Hosting a reception or open house,M0340468,Heritage Green Esso,6.57,"Muys, Dan"
2023/04/15,Waterdown,50,To meet constituents,Hosting a reception or open house,M0340468,No Frills,95.29,"Muys, Dan"
2023/04/15,Waterdown,50,To meet constituents,Hosting a reception or open house,M0340468,Walmart,0.77,"Muys, Dan"
2023/05/06,Binbrook,40,To meet constituents,Hosting a reception or open house,M0340370,Costco,112.69,"Muys, Dan"
2023/05/06,Binbrook,40,To meet constituents,Hosting a reception or open house,M0340445,Titos Pizza,90.97,"Muys, Dan"
2023/05/06,Binbrook,40,To meet constituents,Hosting a reception or open house,M0340370,Sugar Hi,98.67,"Muys, Dan"
2023/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0338537,Marche Hintonburg Market,6.29,"Naqvi, Yasir"
2023/04/23,Ottawa,40,To meet constituents,Hosting a town hall or community event,M0338537,Simbad bakery,143.75,"Naqvi, Yasir"
2023/04/26,Ottawa,300,To meet constituents,Hosting a reception or open house,M0338537,Aburaas,400.00,"Naqvi, Yasir"
2023/04/30,Ottawa,2,To meet constituents,Community activity or event,M0339314,Ottawa Women's Muslim Organization,230.00,"Naqvi, Yasir"
2023/05/15,Ottawa,10,To plan Member's priorities and activities,Hosting a staff event,M0340856,Marche Hintonburg,5.69,"Naqvi, Yasir"
2023/04/01,Stratford,0,To meet constituents,Hosting a meeting,M0339083,7-Eleven,12.18,"Nater, John"
2023/04/01,Stratford,0,To meet constituents,Hosting a meeting,M0342561,7-Eleven,9.61,"Nater, John"
2023/04/15,Monkton,0,To meet constituents,Community activity or event,M0336302,Monkton Lions Club,30.00,"Nater, John"
2023/04/20,Stratford,0,To meet constituents,Community activity or event,M0336302,Stratford Chamber of Commerce,35.00,"Nater, John"
2023/05/04,Stratford,0,To celebrate a significant event,"Gala, reception or ceremony",M0339083,Stratford & District Chamber of Commerce,130.00,"Nater, John"
2023/03/27,Ottawa,45,To celebrate a significant event,Hosting a town hall or community event,M0337240, Ariana Kabab House,56.86,"Noormohamed, Taleeb"
2023/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0342981,Walmart,40.34,"Normandin, Christine"
2023/04/06,Saint-Rémi,1,To meet constituents,Community activity or event,M0338711,Fédération de l'UPA de la Montérégie,74.58,"Normandin, Christine"
2023/04/15,Gatineau,1,To exchange with dignitaries,"Gala, reception or ceremony",M0338711,Forces armées canadienne,148.00,"Normandin, Christine"
2023/04/20,Saint-Jean-sur-Richelieu,1,To meet constituents,Community activity or event,M0338711,CHAMBRE DE COMMERCE ET DE L'INDUSTRIE DU HAUT-RICHELIEU,71.00,"Normandin, Christine"
2023/04/21,Ottawa,1,To exchange with dignitaries,"Gala, reception or ceremony",M0338711,Association navale du Canada,148.00,"Normandin, Christine"
2023/05/04,Ottawa,8,To discuss constituency issues with stakeholders,Hosting a meeting,M0340224,Parliamentary restaurant,457.30,"Normandin, Christine"
2023/06/09,Saint-Jean-sur-Richelieu,0,To meet constituents,"Gala, reception or ceremony",M0344270,CHAMBRE DE COMMERCE ET DE L'INDUSTRIE DU HAUT-RICHELIEU,148.00,"Normandin, Christine"
2023/06/14,Saint-Jean-sur-Richelieu,0,To meet constituents,Community activity or event,M0344270,CHAMBRE DE COMMERCE ET DE L'INDUSTRIE DU HAUT-RICHELIEU,41.00,"Normandin, Christine"
2023/06/14,Ottawa,8,To plan Member's priorities and activities,Hosting a staff event,M0344282,Mamma Teresa Ristorante,438.23,"O'Connell, Jennifer"
2022/04/01,St. John's,0,To meet visitors of Member’s office,Hosting a meeting,M0340057,Costco,39.99,"O'Regan, Seamus"
2023/04/01,Ottawa,1,To meet visitors of Member’s office,Hosting a reception or open house,M0340808,Food Services,23.90,"O'Regan, Seamus"
2023/04/01,Ottawa,1,To meet visitors of Member’s office,Hosting a reception or open house,M0340490,Amazon,31.99,"O'Regan, Seamus"
2023/04/01,Ottawa,1,To meet visitors of Member’s office,Hosting a reception or open house,M0340808,Loblaws,32.50,"O'Regan, Seamus"
2023/04/01,St. John's,1,To meet constituents,Hosting a reception or open house,M0339355,Costco,44.99,"O'Regan, Seamus"
2023/04/01,Ottawa,1,To meet visitors of Member’s office,Hosting a reception or open house,M0341016,Food Services,15.50,"O'Regan, Seamus"
2023/04/24,Ottawa,6,"To discuss business of the House, caucus and committees",Hosting a meeting,M0340929,Gabriel Pizza,93.50,"O'Regan, Seamus"
2023/05/12,St. John's,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0340808,Smitty's Restaurant,39.96,"O'Regan, Seamus"
2023/06/08,Ottawa,5,To plan Member's priorities and activities,Hosting a staff event,M0344453,Royal Oak,193.75,"O'Regan, Seamus"
2023/06/15,Ottawa,10,To plan Member's priorities and activities,Hosting a staff event,M0344453,Gabriel's Pizza,81.87,"O'Regan, Seamus"
2023/05/01,Ottawa,6,To plan Member's priorities and activities,Hosting a staff event,M0340506,Food Services Parliament,322.49,"O'Toole, Erin"
2023/05/01,Ottawa,4,To plan Member's priorities and activities,Hosting a staff event,M0341279,Tim Hortons,7.32,"O'Toole, Erin"
2023/05/02,Ottawa,1,"To discuss business of the House, caucus and committees",Hosting a meeting,M0341279,shoppers,14.02,"O'Toole, Erin"
2023/05/02,Ottawa,45,To celebrate a significant event,Hosting a reception or open house,M0341279,Walmart,47.20,"O'Toole, Erin"
2023/05/02,Ottawa,45,To celebrate a significant event,Hosting a reception or open house,M0341279,Gabriel Pizza,184.00,"O'Toole, Erin"
2023/05/06,Bowmanville,10,To meet constituents,Hosting a meeting,M0341279,Metro,24.70,"O'Toole, Erin"
2023/04/03,Québec,2,To exchange with dignitaries,Hosting a meeting,M0337943,Restaurant: Blaxton Lebourgneuf,54.23,"Paul-Hus, Pierre"
2023/04/08,Charlesbourg,0,To meet constituents,Community activity or event,M0337717,Fondation Saint-Jean-Eudes,125.00,"Paul-Hus, Pierre"
2023/04/13,Québec City,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0337937,Restaurant Le Charbon,65.54,"Paul-Hus, Pierre"
2023/04/21,Laval (Ville),18,To discuss constituency issues with stakeholders,Hosting a meeting,M0339123,ASSOCIATION DES FAMILLES DE PERSONNES ASSASSINÉES OU DISPARUES,73.43,"Paul-Hus, Pierre"
2023/04/27,Quebec City,150,To meet constituents,"Gala, reception or ceremony",M0338306,Amélie et Frédérick Service d'entraide,125.00,"Paul-Hus, Pierre"
2023/05/25,Québec,0,To meet constituents,Community activity or event,M0343943,Fondation Le Petit Blanchon,140.00,"Paul-Hus, Pierre"
2023/05/25,Quebec City,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0341715,Les Frères Toc,139.35,"Paul-Hus, Pierre"
2023/04/01,Repentigny,0,To meet constituents,Hosting a meeting,M0338379,IGA,2.17,"Pauzé, Monique"
2023/04/18,Ottawa East,35,"To discuss business of the House, caucus and committees",Hosting a meeting,M0339596,Serv.de restauration CDC,202.95,"Pauzé, Monique"
2023/04/18,Ottawa,35,"To discuss business of the House, caucus and committees",Hosting a meeting,M0344646,House of Commons Food Services — Services de restauration de la Chambre des communes,202.95,"Pauzé, Monique"
2023/05/26,Repentigny,1,To meet constituents,Community activity or event,M0342177,Club Lions Repentigny La Seigneurie,296.00,"Pauzé, Monique"
2023/05/31,Ottawa,15,"To discuss business of the House, caucus and committees",Hosting a meeting,M0344250,House of Commons Food Services — Services de restauration de la Chambre des communes,265.49,"Pauzé, Monique"
2023/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0339607,Loblaws,309.69,"Perkins, Rick"
2023/06/05,Ottawa,300,To discuss constituency issues with stakeholders,Hosting a reception or open house,M0343902,Andrew Rochon - Wilderness Chef,176.47,"Perkins, Rick"
2023/04/15,Saint-Félix-de-Valois,2,To discuss constituency issues with stakeholders,Community activity or event,M0338753,Fédération de la relève agricole du Québec,60.00,"Perron, Yves"
2023/04/20,Berthierville,1,To discuss constituency issues with stakeholders,Community activity or event,M0338753,Chambre de commerce d'industrie Berthier Autray,75.00,"Perron, Yves"
2023/05/01,Louiseville,1,To meet constituents,"Gala, reception or ceremony",M0343788,CCIMM,270.62,"Perron, Yves"
2023/05/27,Saint-Damien,1,To meet constituents,"Gala, reception or ceremony",M0343162,Club de l'Âge d'Or de St-Damien,100.00,"Perron, Yves"
2023/05/13,Riverview,1,To exchange with dignitaries,Community activity or event,M0340952,HOSPICE SENB,250.00,"Petitpas Taylor, Ginette"
2023/05/25,Moncton,1,To meet constituents,Community activity or event,M0343893,United Way/Centraide GMSENB,30.00,"Petitpas Taylor, Ginette"
2023/05/27,Riverview (Town / Ville),500,To meet constituents,Hosting a town hall or community event,M0343953,COSTCO,577.71,"Petitpas Taylor, Ginette"
2023/05/27,Riverview (Town / Ville),500,To meet constituents,Hosting a town hall or community event,M0343953,JOANNE WILSON,300.00,"Petitpas Taylor, Ginette"
2023/05/27,Riverview (Town / Ville),500,To meet constituents,Hosting a town hall or community event,M0343953,WHOLESALE CLUB,471.92,"Petitpas Taylor, Ginette"
2023/05/27,Riverview (Town / Ville),500,To meet constituents,Hosting a town hall or community event,M0343953,GIANT TIGER,337.93,"Petitpas Taylor, Ginette"
2023/05/27,Riverview (Town / Ville),500,To meet constituents,Hosting a town hall or community event,M0343953,PETRO-CANADA,8.95,"Petitpas Taylor, Ginette"
2023/05/27,Riverview (Town / Ville),500,To meet constituents,Hosting a town hall or community event,M0343927,ATLANTIC SUPERSTORE,119.98,"Petitpas Taylor, Ginette"
2023/04/21,Sainte-Anne-de-Sorel,7,To celebrate a significant event,Community activity or event,M0338891,Société d'aménagement Baie-de-la-Vallière,640.00,"Plamondon, Louis"
2023/04/26,Nicolet,7,To celebrate a significant event,Community activity or event,M0338991,Centre des arts populaires,758.32,"Plamondon, Louis"
2023/05/13,Nicolet,9,To celebrate a significant event,Community activity or event,M0341263,Club Optimiste de Nicolet,450.00,"Plamondon, Louis"
2023/06/18,Massueville,3,To celebrate a significant event,"Gala, reception or ceremony",M0343482,Maison de la Musique de Sorel-Tracy,434.88,"Plamondon, Louis"
2023/06/30,Sorel-Tracy,3,To celebrate a significant event,"Gala, reception or ceremony",M0342069,Chambre de commerce et d'industrie Sorel-Tracy,360.00,"Plamondon, Louis"
2023/04/28,Thunder Bay (City),1,To meet constituents,Community activity or event,M0342130,"FORT WILLIAM MALE CHOIR, THE",80.00,"Powlowski, Marcus"
2023/05/02,Fort Frances,4,To discuss constituency issues with stakeholders,Hosting a staff event,M0340427,Tim Hortons,9.01,"Powlowski, Marcus"
2023/05/05,Thunder Bay (City),4,To attend staff events including training,Hosting a staff event,M0342132,Bar Burrito,11.39,"Powlowski, Marcus"
2023/05/05,Thunder Bay (City),4,To attend staff events including training,Hosting a staff event,M0342132,Noodle Bowl Thunder Bay,67.50,"Powlowski, Marcus"
2023/05/05,Ottawa,4,To plan Member's priorities and activities,Hosting a staff event,M0340427,Parliamentary Restaurant,278.29,"Powlowski, Marcus"
2023/05/23,Thunder Bay (City),40,To meet constituents,Hosting a meeting,M0342826,DAVINCI CENTRE,241.50,"Powlowski, Marcus"
